FeedingType,LifeStageCategory,Location,slopeLinear,interceptLinear,R2,F-statistics,p-val,PredatorMassUniqueness,PreyMassUniqueness
insectivorous,larva / juvenile,Strait of Georgia,0.384249046154571,-3.30742689095901,0.0964302170576586,4.30836287934849,0.0465944025225443,18,14
piscivorous,adult,Apalachicola Bay; Florida,0.315601167257102,6.96676095437557,0.12815131392484,13.4939818773465,0.000420131370657524,33,80
piscivorous,adult,Atlantic Ocean,0.260141577182125,6.29080531131292,0.167573205043284,2213.9660580383,0,758,333
piscivorous,adult,Cape Cod Bay; Gulf of Maine; New England,-0.000755719487485046,12.3638007966521,-0.0142749950213268,0.000739788036573185,0.978378371318804,21,43
piscivorous,adult,Eastern Mediterranean,0.652009130082474,2.84395790386422,0.618346976749523,205.142805962542,3.90742334690296e-28,12,33
piscivorous,adult,Europe; Celtic Sea ecosystem,0.446320367632758,5.19728082521118,0.360550615983527,1179.43695879791,2.57239252512223e-205,386,323
piscivorous,adult,French Polynesian EEZ,-0.00344440892783919,9.80728447063068,-0.000395047728227294,0.257603552962263,0.611830912872535,93,223
piscivorous,adult,Great Channel South; Gulf of Maine; New England,0.275645033772453,10.77512339479,0.235353887318395,224.458825408694,2.09079088296527e-44,24,33
piscivorous,adult,Great South Bay; Long Island; New York,0.381984962733834,3.04781706869486,0.265950676165373,108.242657392169,8.43412441946416e-22,102,50
piscivorous,adult,Gulf of Maine; New England,0.0637787507225842,12.140634178118,-0.00891250434561197,0.293298135786887,0.589638854188319,8,20
piscivorous,adult,Jeffreys Ledge; Gulf of Maine; New England,0.107808454068974,11.3795272341052,0.0931800853281586,40.8688565638844,4.69052308103814e-10,37,45
piscivorous,adult,Mid Atlantic,0.102300793203792,4.15309731870386,0.0354369739746629,3.7186777881492,0.057696021578097,39,36
piscivorous,adult,Off the Bay of Biscay,0.192985490250414,10.6433842999675,0.140218456421993,59.2217533239127,1.39971967104671e-13,50,274
piscivorous,adult,South of Marthas Vineyard; New England,0.486799091516025,9.90592950591141,0.0745949273679705,2.20911797828936,0.159367429953627,4,9
piscivorous,adult,Stellwagen Bank; Gulf of Maine; New England,0.108492499541347,11.7923413214184,0.0366316744891853,20.2024121275003,8.65041891346239e-06,20,40
piscivorous,juvenile,Apalachicola Bay; Florida,0.255431068910441,7.61765814929771,0.0274799751566579,1.7911809368762,0.191944478653282,21,25
piscivorous,juvenile,Off the Bay of Biscay,-3.07653900653271e-15,8.62335338724459,0.499688190528483,2975.2880404236,6.60811953157379e-06,1,524
piscivorous,juvenile,W Greenland,0.709121551017255,1.27848314402828,0.600418658953747,31.0523872001444,2.25023100017493e-05,14,21
piscivorous,larva / juvenile,Strait of Georgia,0.652630804441673,4.96732009411791,0.446957841719521,9.08180416316188,0.0146301686798566,11,10
piscivorous,postlarva,Antarctic Peninsula,0.106773528674382,-2.52746573405741,0.00796889734733119,1.25705314524184,0.270820006991042,25,25
planktivorous,adult,Eastern Mediterranean,-0.188526023745906,1.5578783039798,-0.0547343744268907,0.0140142017500867,0.90707639795372,3,2
planktivorous,adult,French Polynesian EEZ,0.0631832278723198,10.2425928591287,0.0410008773913231,6.85727355759358,0.00982944116500029,37,59
planktivorous,juvenile,Gulf of Alaska,0.168911383542265,2.61342271573401,NA,NA,NA,2,2
planktivorous,larva,Antarctic Peninsula,1.02077538176859,11.1598881317021,0.32793038913666,156.165271662109,2.07689904819003e-29,103,63
planktivorous,larva,Catalan Sea,0.25765387239584,-2.19426552537672,0.278425426929071,170.005867925651,4.70821273070479e-33,191,109
planktivorous,larva,Greenland,0.258813702633504,-8.95861962516705,0.0790337113950473,5.1191715634985,0.0283256454055265,23,44
planktivorous,larva,Western North Pacific,0.161010317505002,-3.4487184256598,0.081472623501933,20.2477216817681,1.11138645151157e-05,47,142
planktivorous,larva / juvenile,Strait of Georgia,0.537539976546299,5.083129495985,0.231854967626857,36.9186611704769,1.55071505486174e-08,63,16
planktivorous,postlarva/juvenile,Antarctic Peninsula,0.675479706794874,6.81310614810304,0.228304582279103,78.8080363840136,1.1059066717427e-16,104,61
predacious,adult,Atlantic Ocean,0.205892717694039,6.89914238491722,0.168349862480743,1031.15969277666,3.52233438038295e-206,566,180
predacious,adult,Cape Cod Bay; Gulf of Maine; New England,0.0294846614061537,12.667694092929,-0.0390011558058694,0.436942554087641,0.519332318863778,7,6
predacious,adult,Eastern Mediterranean,0.17111969518826,1.77465298135466,0.018750708265283,5.18487447041866,0.0237546050509443,4,3
predacious,adult,French Polynesian EEZ,-0.0138206603455201,9.75686769613361,0.00131596720156735,3.62354319511703,0.0571115661405283,97,200
predacious,adult,Great Channel South; Gulf of Maine; New England,0.357253501132577,12.5263754272109,0.161430414366881,5.42765823379465,0.0293962572369485,7,11
predacious,adult,Gulf of Maine; New England,-5.8170431150463e-15,12.0317192583854,0.230162591605558,2.19590235078641,0.323133640956425,1,3
predacious,adult,Jeffreys Ledge; Gulf of Maine; New England,-0.0283090245871123,11.7555841576777,-0.0221764074676407,0.218969775664341,0.642726920235093,13,14
