para	val
N0	0.521739130434795
K	28.5151038938362
r.max	0.000572255659511225
t.lag	4.23133420346864
t.K	5919.24863890374
Model	cu
para	val
N0	2.95652173913047
K	58.1917234154007
r.max	0.00340982166069494
t.lag	-4.4115311807696
t.K	1192.36124200645
Model	ve
para	val
N0	0.521739130434762
K	56.4452592980618
r.max	0.00203468279098774
t.lag	17.0130257487145
t.K	2007.90443156719
Model	cu
para	val
N0	0
K	0.661079099004735
r.max	0
t.lag	0
t.K	Inf
Model	qu
para	val
N0	1.40762463343111
K	40.4692082111437
r.max	0.000555208487103086
t.lag	-32.6890414211781
t.K	6676.41441710114
Model	ve
para	val
N0	0.351906158357773
K	28.3284457478006
r.max	0.000598014453610731
t.lag	-0.370473803427321
t.K	5649.25533255245
Model	ve
para	val
N0	0.879765395894438
K	13.0205278592375
r.max	0.0142340788120963
t.lag	116.990867474736
t.K	302.497956918321
Model	qu
para	val
N0	0.178202813534067
K	26.4347826086957
r.max	0.00045581558861705
t.lag	-15.410562019063
t.K	7250.2725987086
Model	ve
para	val
N0	0.347826086956537
K	39.8260869565218
r.max	0.00133443654399368
t.lag	-16.6090804414809
t.K	2763.08192845274
Model	ve
para	val
N0	0
K	1.39130434782615
r.max	0.000198338339770068
t.lag	-13.7145465461234
t.K	4382.00123041391
Model	qu
para	val
N0	0
K	3.65217391304353
r.max	0.000118501428172689
t.lag	398.348986331436
t.K	13371.4805530873
Model	cu
para	val
N0	0.800000000000023
K	33.6
r.max	0.00221853167335114
t.lag	-6.90453177942677
t.K	1590.48248082545
Model	cu
para	val
N0	0.797872340425521
K	35.1063829787234
r.max	0.00415266587561558
t.lag	0.0548497528658788
t.K	863.709612969885
Model	qu
para	val
N0	0.265251989389936
K	35.1947781765226
r.max	0.0103030722011813
t.lag	0.00561465619363056
t.K	348.340052101754
Model	qu
para	val
N0	145.712799310917
K	19699.6643755473
r.max	0.0046009751777058
t.lag	-1289.06652177287
t.K	860.131693144509
Model	ve
para	val
N0	156.605197702724
K	22285.20673013
r.max	0.00466122688554885
t.lag	-1267.12157430403
t.K	880.751395543517
Model	ve
para	val
N0	1009.40388628522
K	21625.6275799762
r.max	0.00325701045841841
t.lag	-2168.02664519989
t.K	896.648989163563
Model	ve
para	val
N0	117.01914844961
K	26877.1884434779
r.max	0.00390840018451286
t.lag	-1708.07528746517
t.K	901.450328300647
Model	ve
para	val
N0	0
K	20215.0786919774
r.max	0.0062176523079275
t.lag	-790.58105905912
t.K	803.949006409327
Model	ve
para	val
N0	379.573588451414
K	20106.6214661967
r.max	0.00612687746814643
t.lag	-1109.90976145308
t.K	507.366616459866
Model	ve
para	val
N0	1183.86816923108
K	20823.026744974
r.max	0.0127887244599021
t.lag	-529.433669942032
t.K	248.115550246875
Model	ve
para	val
N0	87.8020886117301
K	5042.72057387282
r.max	0.00608053538029527
t.lag	-856.426470760579
t.K	545.736129173316
Model	cu
para	val
N0	1.04734832520669
K	823.182803575906
r.max	0.0149652467974057
t.lag	97.6017263538037
t.K	546.267387882918
Model	cu
para	val
N0	1.05933294181021
K	301.020026030504
r.max	0.0158747125624348
t.lag	89.6771090093208
t.K	449.399737313703
Model	ve
para	val
N0	1.02943205969681
K	1491.55860258709
r.max	0.0312080715786101
t.lag	17.8874757919792
t.K	252.06558227325
Model	ve
para	val
N0	1.04473257151008
K	1666.08119392629
r.max	0.0541154402752623
t.lag	22.9238921927094
t.K	160.016550968886
Model	ve
para	val
N0	3.1670108612222
K	922.379495488011
r.max	0.141964115030539
t.lag	1.29654956052391
t.K	49.3934950661406
Model	qu
para	val
N0	0.99531616783365
K	663.582098863891
r.max	0.0127917285358723
t.lag	54.4439551311711
t.K	562.519028967256
Model	ve
para	val
N0	1.01459828276328
K	26.4528080952361
r.max	0.00872391628748494
t.lag	51.0125318178038
t.K	430.712239164466
Model	ve
para	val
N0	1.020528612233
K	516.029378475618
r.max	0.0226777292411548
t.lag	66.5773001763711
t.K	342.094290054687
Model	cu
para	val
N0	1.07591421390518
K	610.71728678749
r.max	0.0178355286042352
t.lag	81.401090181023
t.K	441.147659428399
Model	ve
para	val
N0	1.02105186214511
K	371.172408153638
r.max	0.0169610247918069
t.lag	96.6803614736044
t.K	445.677977027202
Model	ve
para	val
N0	110.295736071707
K	16987.3351282432
r.max	0.952900070955736
t.lag	-4.68390479196125
t.K	5.53781993602683
Model	qu
para	val
N0	32.5786846801933
K	547.367957001801
r.max	0.575645971268091
t.lag	-4.9030719708255
t.K	6.05322205501931
Model	ve
para	val
N0	36.0352438682172
K	122.009267692657
r.max	0.270124249581289
t.lag	-10.7839523354565
t.K	7.03103357228061
Model	cu
para	val
N0	246.314193295928
K	13869.4649142078
r.max	0.528726147941113
t.lag	-8.49594484983271
t.K	9.54272615082815
Model	cu
para	val
N0	82.7509311549241
K	15276.2405790605
r.max	1.12224700607059
t.lag	-3.7477514105184
t.K	4.83691792156486
Model	ve
para	val
N0	124.976410063433
K	9928.10596325673
r.max	3.92713180564806
t.lag	-1.25566810499556
t.K	1.08782994257137
Model	qu
para	val
N0	0.978836777223656
K	463.607103189648
r.max	0.000512915938104152
t.lag	260.336156750716
t.K	12233.4328239101
Model	cu
para	val
N0	0.978836777223656
K	407.766695936561
r.max	0.000620623178196232
t.lag	3267.85257624158
t.K	12956.7342986125
Model	cu
para	val
N0	1
K	734.574309729187
r.max	0.000596973841182686
t.lag	744.168147659655
t.K	11801.020412415
Model	cu
para	val
N0	1.01036372073517
K	1032.73250306457
r.max	0.00116844259537091
t.lag	2965.69462635867
