initial,modified
0.395,0.0150000000000001
0.293,0.00100000000000011
0.312,0.00099999999999989
0.305,0.00100000000000033
0.299,0.00099999999999989
0.269,0
0.26,0
0.251,0
0.28,0
0.257000000000001,0.00100000000000033
0.33,0
0.257,0
0.356,0.000999999999999446
0.498,0
0.423999999999999,0.000999999999999446
0.321000000000001,0
0.251,0.000999999999999446
0.250999999999999,0
0.265000000000001,0
0.260999999999999,0.000999999999999446
0.255000000000001,0
0.25,0
0.252000000000001,0
0.247999999999999,0.000999999999999446
0.250999999999999,0.000999999999999446
0.394,0.000999999999999446
0.25,0.000999999999999446
0.263,0
0.263,0.000999999999999446
0.353,0
0.302000000000001,0.000999999999999446
0.449999999999999,0
0.264000000000001,0.000999999999999446
0.253,0
0.256,0
0.250999999999999,0
0.250999999999999,0
0.260999999999999,0.000999999999999446
0.25,0.000999999999999446
0.257,0
0.254999999999999,0
0.275000000000002,0.00100000000000122
0.265000000000001,0
0.270999999999997,0.00100000000000122
0.298000000000002,0
0.356999999999999,0.00100000000000122
0.268000000000001,0.000999999999997669
0.288,0.00100000000000122
0.247,0.00100000000000122
0.355,0.00200000000000244
0.364000000000001,0
0.340999999999998,0.00100000000000122
0.326000000000001,0.00100000000000122
0.317,0
0.327999999999999,0.00100000000000122
0.364999999999998,0.00100000000000122
0.302,0.00100000000000122
0.346999999999998,0.00100000000000122
0.308,0.000999999999997669
0.329000000000001,0.000999999999997669
0.300000000000001,0.00100000000000122
0.401,0.000999999999997669
0.332000000000001,0.00100000000000122
0.295999999999999,0
0.325000000000003,0.00100000000000122
0.387,0
0.395,0.000999999999997669
0.306999999999999,0
0.277000000000001,0.000999999999997669
0.256999999999998,0.00100000000000122
0.263999999999999,0.00100000000000122
0.27,0
0.311,0.00100000000000122
0.312000000000001,0.00100000000000122
0.303000000000001,0
0.293000000000003,0
0.261999999999997,0.000999999999997669
0.264999999999997,0.000999999999997669
0.265999999999998,0.00100000000000122
0.262999999999998,0.000999999999997669
0.260999999999996,0
0.289000000000001,0.000999999999997669
0.260000000000005,0.000999999999997669
0.282000000000004,0
0.259,0
0.262,0
0.259,0.000999999999997669
0.259,0.000999999999997669
0.264000000000003,0.000999999999997669
0.269999999999996,0
0.260999999999996,0
0.263000000000005,0
0.295000000000002,0.00100000000000477
0.259,0.000999999999997669
0.262,0.000999999999997669
0.265999999999998,0
0.259,0.000999999999997669
0.258999999999993,0.000999999999997669
0.275000000000006,0
0.265999999999998,0
0.297999999999995,0
0.323999999999998,0.000999999999997669
0.305999999999997,0.000999999999997669
0.297999999999995,0.000999999999997669
0.307000000000002,0.000999999999997669
0.269000000000005,0
0.256999999999998,0.000999999999997669
0.255000000000003,0
0.258000000000003,0.000999999999997669
0.258000000000003,0
0.287999999999997,0.000999999999997669
0.260000000000005,0
0.256,0
0.262999999999998,0
0.260000000000005,0.000999999999997669
0.256,0.00100000000000477
0.263000000000005,0.00100000000000477
0.273000000000003,0.000999999999997669
0.262,0
0.268000000000001,0
0.259999999999998,0.000999999999997669
0.265999999999998,0
0.274999999999999,0.000999999999997669
0.270000000000003,0
0.314,0.000999999999997669
0.255000000000003,0
0.272000000000006,0.00100000000000477
0.262999999999998,0.00100000000000477
