Temp.C	10
clade	Lactobaciulus plantarum
substrate	MRS
replicate	1
SourceRef	Zwietering, M.H., De Wit, J.C., Cuppers, H.G.A.M. and Van't Riet, K., 1994. Modeling of bacterial growth with shifts in temperature. Appl. Environ. Microbiol., 60(1), pp.204-213.
Popn_DataUnit	N
